id;amount;invoice_number;currency;invoice_picture;invoice_picture_content_type;agreement;agreement_content_type;service_description
1;expedite;Optimization generating;Computers olive;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;online alarm
2;system;microchip Home;rich;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Graphic
3;Kids withdrawal;Books Tala withdrawal;group;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Ergonomic networks
4;wireless Principal;Mississippi Hat;Engineer synthesize;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;background
5;matrix embrace;Data;HDD;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;high-level Developer
6;well-modulated recontextualize;Internal calculating;Chair Rustic bypass;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Berkshire
7;Spurs;bandwidth technologies copying;blockchains Grocery Garden;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Corporate back-end Kwacha
8;interactive program reboot;Customer Ports;generate compress;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Territory
9;red Table;deposit Health Compatible;Plastic intermediate extensible;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Auto
10;web-readiness compress Concrete;Cambridgeshire technologies IB;intermediate invoice Square;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Algerian Shoes
